newassoc.c_personid	biog_main.c_name_chn	assoc_codes.c_assoc_desc_chn	newassoc.perid	newassoc.c_name_chn	newassoc.c_assoc_year	newassoc.c_notes	newassoc.c_text_title
648	韓璜	友	3402	胡寅		後知諫院 以忤秦檜罷歸 與胡寅、向子忞友善 時相過從 稱三友	後知諫院 以忤秦檜罷歸 與胡寅、向子忞友善 時相過從 稱三友
669	韓元吉	友	25635	趙彥端	1177		[n/a]
670	韓元龍	友	4002	魏叔介	1172		[n/a]
714	向子忞	友	648	韓璜	1165		[n/a]
714	向子忞	友	17574	劉禹錫	1165		[n/a]
728	謝景溫	友	1762	王安石	1079		[n/a]
728	謝景溫	友	1762	王安石		絳次子 中皇祐元年進士第 與王安石善 自京西淮南轉運使驟擢侍御史 誣劾蘇軾	絳次子 中皇祐元年進士第 與王安石善 自京西淮南轉運使驟擢侍御史 誣劾蘇軾
742	徐常	友	7005	陳襄	1109		[n/a]
746	徐確	友	1649	蔡京		元豐五年試禮部第四策丙科 授江陰尉 蔡京入相 與確有舊 欲授以美官	元豐五年試禮部第四策丙科 授江陰尉 蔡京入相 與確有舊 欲授以美官
798	續觱	友	21806	祖護	1165		[n/a]
808	薛田	友	21214	魏野		河中河東人 少師种放 與魏野友善 以進士起家 累遷右諫議大夫	河中河東人 少師种放 與魏野友善 以進士起家 累遷右諫議大夫
826	胡松年	友	7343	孫覿		貓相乳記(鴻慶居士文集21/9下)	貓相乳記(鴻慶居士文集21/9下)
833	胡宗愈	友	209	張巨	1102		[n/a]
833	胡宗愈	友	461	蔣之奇	1102		[n/a]
833	胡宗愈	友	3849	丁隲	1102		[n/a]
875	任中正	友	1641	丁謂		蜀人便之 仁宗時拜兵部尚書 中正素與丁謂善 謂貶 中正營救	蜀人便之 仁宗時拜兵部尚書 中正素與丁謂善 謂貶 中正營救
897	寇瑊	友	1641	丁謂		通音律 知術數 與丁謂厚善 人以此短之	通音律 知術數 與丁謂厚善 人以此短之
898	寇準	友	332	張詠		恩威並用 蜀民畏而愛之 詠與寇準最善 每面折準過 雖貴不改	恩威並用 蜀民畏而愛之 詠與寇準最善 每面折準過 雖貴不改
898	寇準	友	1950	溫仲舒	1021		[n/a]
901	孔平仲	友	40304	李中			[n/a]
902	孔延之	友	504	周敦頤	1072		[n/a]
902	孔延之	友	7364	曾鞏	1072		[n/a]
902	孔延之	友	44551	柳師聖(字)			[n/a]
962	來之邵	友	2032	楊畏	1112		[n/a]
971	李常	友	1762	王安石			[n/a]
984	李崇矩	友	8023	趙普	983		[n/a]
984	李崇矩	友	8023	趙普		仕漢及周 太祖時拜樞密使 與趙普相厚善 太平興國初 出為瓊、崖、儋、萬四州都巡檢使	仕漢及周 太祖時拜樞密使 與趙普相厚善 太平興國初 出為瓊、崖、儋、萬四州都巡檢使
996	李植	友	1314	呂公著		歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人	歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人
996	李植	友	1488	司馬光		歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人	歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人
1034	李巽	友	3997	王禹偁	1013		[n/a]
1037	李紘	友	8043	范仲淹		紘長於吏治 篤於交游 范仲淹被謫 朝士畏宰相無敢過者 紘獨出郊餞飲之	紘長於吏治 篤於交游 范仲淹被謫 朝士畏宰相無敢過者 紘獨出郊餞飲之
1090	李濤	友	1156	林之奇			[n/a]
1156	林之奇	友	1090	李濤			[n/a]
1156	林之奇	友	51418	樊世顯		懷安桐谿人 師事呂本中 友林之奇 嘗構堂象孔老瞿曇氏而祝之	懷安桐谿人 師事呂本中 友林之奇 嘗構堂象孔老瞿曇氏而祝之
1226	劉式	友	268	張佖	997		[n/a]
1226	劉式	友	3083	陳省華	997		[n/a]
1226	劉式	友	7097	楊億	997		[n/a]
1226	劉式	友	12236	徐鉉	997		[n/a]
1229	劉師道	友	13000	黃叔達	1014		[n/a]
1238	劉岑	友	25604	陸彥昭	1154		[n/a]
1313	呂廣問	友	39998	汪紹			[n/a]
1313	呂廣問	友	42034	羅靖			[n/a]
1313	呂廣問	友	42037	羅竦			[n/a]
1314	呂公著	友	996	李植		歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人	歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人
1314	呂公著	友	1488	司馬光			[n/a]
1327	呂大防	友	2032	楊畏	1094		[n/a]
1360	梅執禮	友	42234	何敏中			[n/a]
1384	歐陽修	友	7059	梅堯臣		工詩 以深遠古淡為意 歐陽修與為詩友 自以為不及 以蔭為桐城、河南、河陽主簿	工詩 以深遠古淡為意 歐陽修與為詩友 自以為不及 以蔭為桐城、河南、河陽主簿
1384	歐陽修	友	11666	張汝士	1068		[n/a]
1384	歐陽修	友	17935	石介	1068		[n/a]
1384	歐陽修	友	21619	丁寶臣	1068		[n/a]
1384	歐陽修	友	40922	李公佐		李秀才東園亭記(歐陽文忠公集63/7下)	李秀才東園亭記(歐陽文忠公集63/7下)
1384	歐陽修	友	46314	徐問真		濰州人 有道術 與歐陽修善 一日求去甚力 修留之不可	濰州人 有道術 與歐陽修善 一日求去甚力 修留之不可
1384	歐陽修	友	48090	陸經		坐謫流落 善真行書 歐陽修憐其貧 每與人作碑誌 必先約令經書之	坐謫流落 善真行書 歐陽修憐其貧 每與人作碑誌 必先約令經書之
1388	潘良貴	友	15175	陳楫	1150		[n/a]
1400	彭汝礪	友	15439	程禦	1094		[n/a]
1414	鮑由	友	3767	蘇軾	1121		[n/a]
1445	沈季長	友	7364	曾鞏	1087		[n/a]
1453	沈遼	友	3669	馬永譽			[n/a]
1458	沈叔通	友	7364	曾鞏	1088		[n/a]
1488	司馬光	友	237	張徽	1086		[n/a]
1488	司馬光	友	996	李植		歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人	歷湖北轉運判官 元祐間入為尚書度支郎 與司馬光、呂公著諸人善 蔡卞用事 斥為黨人
1488	司馬光	友	1314	呂公著			[n/a]
1488	司馬光	友	3279	范鎮		刀筆八卷 又嘗與修實錄等書 鎮生平與司馬光相得甚懽 議論如出一口 其學本諸六經	刀筆八卷 又嘗與修實錄等書 鎮生平與司馬光相得甚懽 議論如出一口 其學本諸六經
1488	司馬光	友	22106	聞人安道		通判歙州 官至職方郎中知南康軍 與趙抃、司馬光、蘇軾交善	通判歙州 官至職方郎中知南康軍 與趙抃、司馬光、蘇軾交善
1493	蘇轍	友	3723	施大任			[n/a]
1493	蘇轍	友	13213	毛維瞻	0	知筠州時，蘇轍適謫其地，相與唱和。	知筠州時，蘇轍適謫其地，相與唱和。
1493	蘇轍	友	13612	張恕	1095		[n/a]
1493	蘇轍	友	16054	巢谷	1095		[n/a]
1493	蘇轍	友	43894	侯晉升			[n/a]
1521	孫覺	友	1762	王安石		登皇祐元年進士第 累擢至右正言 王安石早與覺善 驟引用之 將援以為助	登皇祐元年進士第 累擢至右正言 王安石早與覺善 驟引用之 將援以為助
1525	孫何	友	1641	丁謂		長洲縣人 登淳化三年進士 與孫何齊名 時號孫丁 累官同中書門下平章事	長洲縣人 登淳化三年進士 與孫何齊名 時號孫丁 累官同中書門下平章事
1547	孫載	友	3577	凌浩	1095		[n/a]
1547	孫載	友	15074	陳敏	1095		[n/a]
1547	孫載	友	15075	袁默	1095		[n/a]
1609	滕知白	友	3031	戚同文(字)	977		[n/a]
1609	滕知白	友	3031	戚同文(字)		涉父 善為詩 與戚同文相友善 官至刑部員外郎 河北轉運使	涉父 善為詩 與戚同文相友善 官至刑部員外郎 河北轉運使
1641	丁謂	友	875	任中正		蜀人便之 仁宗時拜兵部尚書 中正素與丁謂善 謂貶 中正營救	蜀人便之 仁宗時拜兵部尚書 中正素與丁謂善 謂貶 中正營救
1641	丁謂	友	897	寇瑊		通音律 知術數 與丁謂厚善 人以此短之	通音律 知術數 與丁謂厚善 人以此短之
1641	丁謂	友	1525	孫何		長洲縣人 登淳化三年進士 與孫何齊名 時號孫丁 累官同中書門下平章事	長洲縣人 登淳化三年進士 與孫何齊名 時號孫丁 累官同中書門下平章事
1641	丁謂	友	51804	劉遁		瓊州人 與丁謂相善 一日作詩贈謂曰：他時駕鶴遊滄海 同看蓬萊島上春	瓊州人 與丁謂相善 一日作詩贈謂曰：他時駕鶴遊滄海 同看蓬萊島上春
1649	蔡京	友	746	徐確		元豐五年試禮部第四策丙科 授江陰尉 蔡京入相 與確有舊 欲授以美官	元豐五年試禮部第四策丙科 授江陰尉 蔡京入相 與確有舊 欲授以美官
1649	蔡京	友	39381	朱沖		設藥市於平江 因以致富 蔡京自錢塘過吳 因交之 攜以歸	設藥市於平江 因以致富 蔡京自錢塘過吳 因交之 攜以歸
1649	蔡京	友	44956	孫鼛			[n/a]
1651	蔡襄	友	21137	杜誼			[n/a]
1651	蔡襄	友	22725	顏慥	1067		[n/a]
1717	祖無擇	友	44222	柳淇			[n/a]
1762	王安石	友	395	趙鼎臣		官至太府卿 有竹隱畸士集 鼎臣與蘇軾、王安石諸人交好 相與酬和 故所作具有門徑	官至太府卿 有竹隱畸士集 鼎臣與蘇軾、王安石諸人交好 相與酬和 故所作具有門徑
1762	王安石	友	728	謝景溫	1080		[n/a]
1762	王安石	友	728	謝景溫		絳次子 中皇祐元年進士第 與王安石善 自京西淮南轉運使驟擢侍御史 誣劾蘇軾	絳次子 中皇祐元年進士第 與王安石善 自京西淮南轉運使驟擢侍御史 誣劾蘇軾
1762	王安石	友	971	李常			[n/a]
1762	王安石	友	1521	孫覺		登皇祐元年進士第 累擢至右正言 王安石早與覺善 驟引用之 將援以為助	登皇祐元年進士第 累擢至右正言 王安石早與覺善 驟引用之 將援以為助
1762	王安石	友	1897	王存		為歐陽修、呂公著所知 歷知太常禮院 與王安石厚 安石執政 數引與論事	為歐陽修、呂公著所知 歷知太常禮院 與王安石厚 安石執政 數引與論事
1762	王安石	友	3799	宋保國	1080		[n/a]
1762	王安石	友	3958	王回	1080		[n/a]
1762	王安石	友	12989	潘興嗣	1080		[n/a]
1762	王安石	友	13574	張伯孫	1080		[n/a]
1762	王安石	友	19871	王該	0		[n/a]
1762	王安石	友	39075	饒竦	0		[n/a]
1762	王安石	友	40134	求仲弓		與王安石為文字交	與王安石為文字交
1762	王安石	友	40401	釋贊元			[n/a]
1762	王安石	友	53771	釋瑞新		值火寺燬 乃勸州之人士為建水陸堂 新與王安石相交 後移主金山之龍游 皇祐五年卒	值火寺燬 乃勸州之人士為建水陸堂 新與王安石相交 後移主金山之龍游 皇祐五年卒
1817	王峴	友	27928	劉黼	1101		[n/a]
1897	王存	友	1762	王安石		為歐陽修、呂公著所知 歷知太常禮院 與王安石厚 安石執政 數引與論事	為歐陽修、呂公著所知 歷知太常禮院 與王安石厚 安石執政 數引與論事
1950	溫仲舒	友	898	寇準	1007		[n/a]
1970	吳芾	友	8008	秦檜			[n/a]
1986	吳遵路	友	8043	范仲淹			[n/a]
2022	楊時	友	11885	游酢	1130		[n/a]
2022	楊時	友	27148	游復	1130		[n/a]
2032	楊畏	友	962	來之邵	1104		[n/a]
2032	楊畏	友	1327	呂大防	1104		[n/a]
2032	楊畏	友	8089	劉摯	1104		[n/a]
2040	姚鉉	友	38477	文道南	0		[n/a]
2073	晏殊	友	41028	李宗易			[n/a]
3029	晁說之	友	14221	陳恬	1112		[n/a]
3031	戚同文(字)	友	1609	滕知白	976		[n/a]
3031	戚同文(字)	友	1609	滕知白		涉父 善為詩 與戚同文相友善 官至刑部員外郎 河北轉運使	涉父 善為詩 與戚同文相友善 官至刑部員外郎 河北轉運使
3031	戚同文(字)	友	3139	張昉		本燕人 徙華州渭南 與戚同文為友 有史材 歷知雜御史省郎	本燕人 徙華州渭南 與戚同文為友 有史材 歷知雜御史省郎
3031	戚同文(字)	友	22273	韋襄			[n/a]
3043	秦觀	友	16282	錢節	1100		[n/a]
3043	秦觀	友	34891	釋道潛		能文章 尤喜為詩 與蘇軾、秦觀深相契 軾稱其詩無一點蔬筍氣 軾在黃州時	能文章 尤喜為詩 與蘇軾、秦觀深相契 軾稱其詩無一點蔬筍氣 軾在黃州時
3043	秦觀	友	52719	魏景		而乃諱之 善屬文 與秦觀善	而乃諱之 善屬文 與秦觀善
3075	陳亮	友	3288	范子長	1194		[n/a]
3075	陳亮	友	13895	范子該	1194		[n/a]
3075	陳亮	友	13895	范子該		子長弟 與兄同遊張栻之門 與陳亮相友善	子長弟 與兄同遊張栻之門 與陳亮相友善
3075	陳亮	友	16783	范仲藝	1194		[n/a]
3075	陳亮	友	17491	呂浩			[n/a]
3075	陳亮	友	22412	吳竿		敭歷中外 所至有聲 所交葉適、陳亮 皆相器重	敭歷中外 所至有聲 所交葉適、陳亮 皆相器重
3075	陳亮	友	27361	徐木	1194		[n/a]
3075	陳亮	友	44515	郎翥		郎翥遣子景明從陳亮遊。	郎翥遣子景明從陳亮遊。
3075	陳亮	友	44747	凌堅		率母訓 以學行自見 陳亮患難中 堅每為之奔走	率母訓 以學行自見 陳亮患難中 堅每為之奔走
3076	陳烈	友	3242	周希孟	1042		[n/a]
3076	陳烈	友	7005	陳襄	1042		[n/a]
3076	陳烈	友	7187	鄭穆	1042		[n/a]
3081	陳師道	友	38365	王立之	0		[n/a]
3081	陳師道	友	41507	吳範		範登其門 復因轍而見軾 遂交陳師道 又見知於楊傑 故得與于元祐文獻之傳	範登其門 復因轍而見軾 遂交陳師道 又見知於楊傑 故得與于元祐文獻之傳
3102	程顥	友	19151	李敏之	1085		[n/a]
3108	程松	友	3326	韓侂冑		紹熙進士 慶元中知錢塘縣 諂事吳曦以結韓侂冑 累除同知樞密院事 自邑宰至執政纔四年	紹熙進士 慶元中知錢塘縣 諂事吳曦以結韓侂冑 累除同知樞密院事 自邑宰至執政纔四年
3134	張俊	友	25412	趙士褭	1145		[n/a]
3139	張昉	友	3031	戚同文(字)		本燕人 徙華州渭南 與戚同文為友 有史材 歷知雜御史省郎	本燕人 徙華州渭南 與戚同文為友 有史材 歷知雜御史省郎
3200	趙汝愚	友	10613	林成季			[n/a]
3242	周希孟	友	3076	陳烈	1042		[n/a]
3242	周希孟	友	7005	陳襄	1042		[n/a]
3242	周希孟	友	7187	鄭穆	1042		[n/a]
3244	周行己	友	21765	段萬頃			[n/a]
3244	周行己	友	35006	左緯	1121		[n/a]
3256	朱服	友	3767	蘇軾	1103		[n/a]
3257	朱熹	友	4103	顏度	1179		[n/a]
3257	朱熹	友	7164	張栻	1179		[n/a]
3257	朱熹	友	10049	蔡元定	1179		[n/a]
3257	朱熹	友	10083	崔嘉彥	1179		[n/a]
3257	朱熹	友	10613	林成季	1179		[n/a]
3257	朱熹	友	11833	劉玶	1179		[n/a]
3257	朱熹	友	13651	陳宋霖	1179		[n/a]
3257	朱熹	友	13773	張杰	1179		[n/a]
3257	朱熹	友	16692	王炎	0	與朱熹交誼頗篤	與朱熹交誼頗篤
3257	朱熹	友	17527	吳儆	1179		[n/a]
3257	朱熹	友	18827	胡襄		以為趙鼎、胡寅之學 被錮十餘年 晚復交朱熹 由是體用浹洽 本末兼備	以為趙鼎、胡寅之學 被錮十餘年 晚復交朱熹 由是體用浹洽 本末兼備
3257	朱熹	友	19164	李閎祖	1179		[n/a]
3257	朱熹	友	20700	馬千之			[n/a]
3257	朱熹	友	20910	石?	1179		[n/a]
3257	朱熹	友	23388	黃文晟	1179		[n/a]
3257	朱熹	友	23735	陳旦		字明仲 建陽人 與朱熹交 為侯官縣令	字明仲 建陽人 與朱熹交 為侯官縣令
3257	朱熹	友	27361	徐木	1179		[n/a]
3257	朱熹	友	27385	魏掞之	1179		[n/a]
3257	朱熹	友	30359	辛棄疾	1179		[n/a]
3257	朱熹	友	39282	丘義	0		[n/a]
3257	朱熹	友	39304	江嗣	0		[n/a]
3257	朱熹	友	41609	吳楫			[n/a]
3257	朱熹	友	42968	洪撙			[n/a]
3257	朱熹	友	43588	范念德			[n/a]
3257	朱熹	友	44397	馬大同			[n/a]
3257	朱熹	友	45163	孫邦仁			[n/a]
3257	朱熹	友	46220	徐逸		自稱汝陽被褐公 天台人 少與朱熹為友	自稱汝陽被褐公 天台人 少與朱熹為友
3257	朱熹	友	46271	徐元聘		號芸齋 朱熹友人 有田舍一區 旁治軒窗	號芸齋 朱熹友人 有田舍一區 旁治軒窗
3257	朱熹	友	48752	黃仲本		邵武人 官至州守 與朱熹為友 以復名齋 請朱熹為之記	邵武人 官至州守 與朱熹為友 以復名齋 請朱熹為之記
3257	朱熹	友	49172	程伯榮		字良弼 古田人 與同邑蘇龜齡、沈有開、傅子淵皆友於朱熹	字良弼 古田人 與同邑蘇龜齡、沈有開、傅子淵皆友於朱熹
3257	朱熹	友	50104	趙悰		字彥忠 晉江人 與朱熹善 為福建運管 寬鹽法之病民者	字彥忠 晉江人 與朱熹善 為福建運管 寬鹽法之病民者
3257	朱熹	友	51443	鄧林		淳熙五年登第 奉泰和主簿 嘗與辛棄疾、周必大、陳傅良、戴溪、朱熹、呂祖謙等為友 凡三上書於朝 譏切朝政	淳熙五年登第 奉泰和主簿 嘗與辛棄疾、周必大、陳傅良、戴溪、朱熹、呂祖謙等為友 凡三上書於朝 譏切朝政
3257	朱熹	友	52353	應恕		括蒼人 淳熙初寓黃巖 朱熹以隱居老友稱之 門人趙師淵等號艮齋先生	括蒼人 淳熙初寓黃巖 朱熹以隱居老友稱之 門人趙師淵等號艮齋先生
3279	范鎮	友	1488	司馬光		刀筆八卷 又嘗與修實錄等書 鎮生平與司馬光相得甚懽 議論如出一口 其學本諸六經	刀筆八卷 又嘗與修實錄等書 鎮生平與司馬光相得甚懽 議論如出一口 其學本諸六經
3279	范鎮	友	39143	白子儀	0	與范鎮友善，東齋紀事多引其說。	與范鎮友善，東齋紀事多引其說。
3288	范子長	友	3075	陳亮	1211		[n/a]
3294	方逢辰	友	41923	吳攀龍			[n/a]
3322	韓境	友	42219	林拾			[n/a]
3326	韓侂冑	友	3108	程松		紹熙進士 慶元中知錢塘縣 諂事吳曦以結韓侂冑 累除同知樞密院事 自邑宰至執政纔四年	紹熙進士 慶元中知錢塘縣 諂事吳曦以結韓侂冑 累除同知樞密院事 自邑宰至執政纔四年
3402	胡寅	友	648	韓璜	1156		[n/a]
3402	胡寅	友	648	韓璜		後知諫院 以忤秦檜罷歸 與胡寅、向子忞友善 時相過從 稱三友	後知諫院 以忤秦檜罷歸 與胡寅、向子忞友善 時相過從 稱三友
3404	胡瑗	友	14374	陳之奇		官中允 即乞歸 與胡瑗、蘇舜欽為友 時號吳下三賢	官中允 即乞歸 與胡瑗、蘇舜欽為友 時號吳下三賢
3438	孔武仲	友	40304	李中			[n/a]
3439	孔文仲	友	40304	李中			[n/a]
3484	李之儀	友	41342	李道甫			[n/a]
3504	李虛己	友	22273	韋襄			[n/a]
3537	李遵勗	友	10623	劉筠		《宋史》卷464“李遵勗”傳：又與劉筠相友善，筠卒，存恤其家。	《宋史》卷464“李遵勗”傳：又與劉筠相友善，筠卒，存恤其家。
3552	李郁	友	41609	吳楫			[n/a]
3577	凌浩	友	1547	孫載	1095		[n/a]
3577	凌浩	友	15074	陳敏	1095		[n/a]
3577	凌浩	友	15075	袁默	1095		[n/a]
3595	劉克莊	友	11120	黃績	1246		[n/a]
3595	劉克莊	友	11427	方審權	1246		[n/a]
3595	劉克莊	友	11427	方審權		每歎曰：吾耕讀于此 足了一生矣 與劉克莊、王邁相友善 景定五年卒 八十五	每歎曰：吾耕讀于此 足了一生矣 與劉克莊、王邁相友善 景定五年卒 八十五
3595	劉克莊	友	12923	蕭桂發	1246		[n/a]
3595	劉克莊	友	38152	王必成	0		[n/a]
3595	劉克莊	友	44338	秦綱		有膽略 所為詩文多悲壯慷慨 與劉克莊善 克莊薦之於方信儒 與俱使北	有膽略 所為詩文多悲壯慷慨 與劉克莊善 克莊薦之於方信儒 與俱使北
3595	劉克莊	友	45281	孫惟信			[n/a]
3595	劉克莊	友	46127	翁定		建安人 工律詩 與劉克莊友 尤為真德秀所知 晚為洛學	建安人 工律詩 與劉克莊友 尤為真德秀所知 晚為洛學
3624	樓鑰	友	10360	鄭若沖	1193		[n/a]
3624	樓鑰	友	18519	謝傑		良佐後裔 官永嘉郡丞 與樓鑰為忘年交 奉祠主管雲臺觀卒	良佐後裔 官永嘉郡丞 與樓鑰為忘年交 奉祠主管雲臺觀卒
3624	樓鑰	友	19103	洪蘩			[n/a]
3624	樓鑰	友	37899	王梠	0		[n/a]
3624	樓鑰	友	43013	鮑俊德		俊德少篤學 幾忘寒飢 與樓鑰友善 淳熙十年卒 年五十六	俊德少篤學 幾忘寒飢 與樓鑰友善 淳熙十年卒 年五十六
3624	樓鑰	友	43020	謝雩		雩講學務出于正 早受知于舅氏張闡 又與樓鑰相交好 著有正字韻類五卷 陳傅良為之序	雩講學務出于正 早受知于舅氏張闡 又與樓鑰相交好 著有正字韻類五卷 陳傅良為之序
3624	樓鑰	友	43090	張汝礪			[n/a]
3624	樓鑰	友	46491	郭杞		為人剛峭 家無餘貲 與當時名士樓鑰、黃仁傑相友善 尤為楊萬里所知	為人剛峭 家無餘貲 與當時名士樓鑰、黃仁傑相友善 尤為楊萬里所知
3632	陸九淵	友	23388	黃文晟	1192		[n/a]
3639	陸棠	友	8044	范宗尹		知識甚廣 宣和末補迪功郎 范宗尹拜相 棠與之有舊 得為廣東提刑司屬官	知識甚廣 宣和末補迪功郎 范宗尹拜相 棠與之有舊 得為廣東提刑司屬官
3640	陸游	友	25575	譚季壬	1184		[n/a]
3640	陸游	友	25610	王琳	1184		[n/a]
3640	陸游	友	33596	劉應時	1184		[n/a]
3640	陸游	友	44017	范中立			[n/a]
3669	馬永譽	友	1453	沈遼			[n/a]
3676	米芾	友	548	鍾正甫	1107		[n/a]
3718	邵雍	友	41726	吳執中			[n/a]
3723	施大任	友	559	范純仁			[n/a]
3723	施大任	友	1493	蘇轍			[n/a]
3727	史彌遠	友	22601	楊谷	1233		[n/a]
3727	史彌遠	友	22602	楊石	1233		[n/a]
3762	蘇洵	友	19074	任孜	1066		[n/a]
3762	蘇洵	友	19075	任伋	1066		[n/a]
3762	蘇洵	友	27391	員安輿			[n/a]
3767	蘇軾	友	1414	鮑由	1095		[n/a]
3767	蘇軾	友	3256	朱服	1095		[n/a]
3767	蘇軾	友	7111	黃庭堅	0		[n/a]
3767	蘇軾	友	7308	歐陽發		元豐八年卒 年四十六 蘇軾哭之 謂發得文忠之學 蔡伯喈、張茂先之流也	元豐八年卒 年四十六 蘇軾哭之 謂發得文忠之學 蔡伯喈、張茂先之流也
3767	蘇軾	友	7376	王詵	1095		[n/a]
3767	蘇軾	友	11645	蘇嘉		改知杭州富陽縣 究心民事 為蘇軾所知 歷太常博士 通判常州	改知杭州富陽縣 究心民事 為蘇軾所知 歷太常博士 通判常州
3767	蘇軾	友	13612	張恕	1095		[n/a]
3767	蘇軾	友	13798	王直方	0		[n/a]
3767	蘇軾	友	15878	閭丘孝終		未幾掛冠歸 與崇大年輩以耆德稱 蘇軾謫黃時與孝終友善 相推重 過吳嘗飲酒賦詩其家	未幾掛冠歸 與崇大年輩以耆德稱 蘇軾謫黃時與孝終友善 相推重 過吳嘗飲酒賦詩其家
3767	蘇軾	友	16048	杜俁		成都人 父沂 與蘇軾友善 俁幼從軾游 家藏書畫甚富	成都人 父沂 與蘇軾友善 俁幼從軾游 家藏書畫甚富
3767	蘇軾	友	16054	巢谷	1095		[n/a]
3767	蘇軾	友	21239	蘇堅	1095		[n/a]
3767	蘇軾	友	22106	聞人安道		通判歙州 官至職方郎中知南康軍 與趙抃、司馬光、蘇軾交善	通判歙州 官至職方郎中知南康軍 與趙抃、司馬光、蘇軾交善
3767	蘇軾	友	26882	葛敏修	1095		[n/a]
3767	蘇軾	友	43894	侯晉升			[n/a]
3767	蘇軾	友	46262	徐大正		元祐中赴省試 過釣台題詩 蘇軾見之 遂與定交 嘗築室北山下	元祐中赴省試 過釣台題詩 蘇軾見之 遂與定交 嘗築室北山下
3767	蘇軾	友	50020	翟逢亨		事母至孝 居白鶴峰東 蘇軾謫惠時 嘗與往還	事母至孝 居白鶴峰東 蘇軾謫惠時 嘗與往還
