biog_main.c_personid	biog_main.c_name_chn	kinship_codes.c_kinrel_chn	newkinship.c_kin_id	newkinship.c_name_chn	newkinship.c_notes
22	陈求道	妻子	119376	蔡氏(陈求道妻)	据宋史列传CBDB宋史分传#1751
24	陈正同	父	7128	陈瓘	
25	陈洎	父	3089	陈宗旦	
26	陈机	父	14328	陈豫	
27	夏侯彧	父	8058	夏侯峤	
28	陈绦	兄弟	96	陈纬	
29	陈桷	父	14352	陈懿	
31	陈戬	父	14592	陈希正	
33	陈知俭	父	14210	陈博古	
34	陈执中	父	83	陈恕	
34	陈执中	弟	3055	陈执古	
34	陈执中	妻子	119408	李氏(陈执中妻)	据宋史列传CBDB宋史分传#470
34	陈执中	子	119533	陈世儒	据宋史列传CBDB宋史分传#470
36	陈之渊	兄	14382	陈之茂	
37	陈靖	子	14388	陈甲	
37	陈靖	子	14404	陈乙	
37	陈靖	父	47547	陈仁壁	
39	陈扃	父	14392	陈肄	
46	陈繫	兄	14530	陈晞	
47	陈向	父	14542	陈逸	
53	陈紘	子	7132	陈彦默	
54	陈洪	父	8004	陈与义	
54	陈洪	子	15181	陈巩	
55	陈绎	父	7102	陈见素	
56	陈若拙	父	14598	陈钦祚	
56	陈若拙	子	119524	陈映	据宋史列传CBDB宋史分传#261
58	陈汝锡	子	3064	陈棣	
58	陈汝锡	父	14599	陈圭	
58	陈汝锡	妻子	339460	江氏(陈汝锡妻)	
58	陈汝锡	妻子	339462	江氏(陈汝锡妻)	
59	陈荣古	父	99	陈尧咨	
59	陈荣古	子	26471	陈知德	
61	陈康民	子	22	陈求道	
62	陈康伯	父	14265	陈亨仲	
63	陈膏	子	10239	陈居仁	
63	陈膏	父	12630	陈嘉谟	
63	陈膏	子	15032	陈雃	
63	陈膏	父	47572	陈嘉汉	
63	陈膏	母	47573	黄氏(陈嘉汉妻)	
64	陈廓	父	3070	陈亢	
67	陈贯	妻子	5007	李氏(陈贯妻)	
67	陈贯	父	11649	陈芳	
67	陈贯	弟	11650	陈赓	
67	陈贯	子	34100	陈安礼	
68	陈公彦	兄	3074	陈公器	
68	陈公彦	父	23227	陈整	
69	陈国瑞	父	11435	陈与京	
70	陈良弼	父	23954	陈仪	
70	陈良弼	母	134314	邓氏(陈良弼母)	
70	陈良弼	妻子	134315	邓氏(陈良弼妻)	
76	陈忱	父	7126	陈希亮	
77	陈升之	父	14324	陈俨	
78	陈世卿	父	13689	陈文馀	
78	陈世卿	弟	13690	陈世则	
79	陈师锡	父	15023	陈瀚	
80	陈世修	父	3056	陈执礼	
81	陈师尹	子	27367	陈昌运	
81	陈师尹	父	27369	陈梦	
83	陈恕	父	14378	陈光嗣	
83	陈恕	母	47479	孙氏(陈光嗣妻)	
85	陈述古	父	98	陈尧佐	
85	陈述古	父	99	陈尧咨	
85	陈述古	子	14209	陈知雄	
85	陈述古	子	14211	陈知祥	
86	陈偲	父	3091	陈动之	
86	陈偲	子	14348	陈彦和	
86	陈偲	子	14349	陈彦直	
89	陈橐	父	13450	陈毅	
89	陈橐	父	47629	陈毅	
91	陈从易	女儿	5085	陈氏(吕升卿妻)	
92	陈从信	子	17745	陈惟德	
93	陈从易	妻子	47962	高氏(陈从易妻)	
95	徐越	子	18620	徐绶	
95	徐越	子	18621	徐总	
95	徐越	子	18622	徐	
96	陈纬	兄弟	28	陈绦	
97	陈尧叟	弟	98	陈尧佐	
97	陈尧叟	父	3083	陈省华	
97	陈尧叟	母	118924	冯氏(陈尧叟母)	
97	陈尧叟	弟	99	陈尧咨	据宋史列传CBDB宋史分传#468
98	陈尧佐	兄	97	陈尧叟	
98	陈尧佐	父	3083	陈省华	
98	陈尧佐	母	118924	冯氏(陈尧叟母)	
98	陈尧佐	弟	99	陈尧咨	陈尧佐
99	陈尧咨	子	59	陈荣古	
99	陈尧咨	子	85	陈述古	
99	陈尧咨	父	3083	陈省华	
99	陈尧咨	女儿	5393	陈氏(贾昌朝妻)	
99	陈尧咨	子	14210	陈博古	
99	陈尧咨	母	118924	冯氏(陈尧叟母)	
99	陈尧咨	兄	98	陈尧佐	陈尧佐
99	陈尧咨	兄	97	陈尧叟	据宋史列传CBDB宋史分传#468
101	陈兖	父	14211	陈知祥	
102	陈彦恭	父	7129	陈侗	
102	陈彦恭	子	15052	陈袤	
103	陈彦武	父	55	陈绎	
104	陈祐之	女儿	5246	陈氏(赵仲全妻)	
104	陈祐之	父	26496	陈易	
105	陈祐甫	父	26496	陈易	
105	陈祐甫	子	47585	陈遘	据宋史列传CBDB宋史分传#1731
108	陈越	父	15040	陈夏	
108	陈越	兄	15041	陈咸	
109	程昌弼	兄弟	110	程昌寓	
110	程昌寓	兄弟	109	程昌弼	
111	程节	弟	131	程筠	
111	程节	子	7412	程邻	
112	程之邵	子	124	程唐	
112	程之邵	父	3100	程濬	
113	程之才	弟	114	程之元	
113	程之才	父	3100	程濬	
114	程之元	兄	113	程之才	
114	程之元	父	3100	程濬	
114	程之元	子	26421	程庭	
116	程戡	父	7008	程坦	
116	程戡	母	49128	王氏(程戡母)	
116	程戡	妻子	49129	曹氏(程戡妻)	
117	程克俊	子	15762	程相	
117	程克俊	父	15782	程逵	
117	程克俊	妻子	49169	朱氏(程克俊妻)	
118	程琳	妻子	5009	陈氏(程琳妻)	
118	程琳	女儿	5038	程氏(韩缜妻)	
118	程琳	父	15697	程元白	
118	程琳	兄	22274	程琬	
118	程琳	妻子	49116	陈氏(程琳妻)	
119	程迈	父	15565	程宗颜	
122	程师孟	妻子	5381	贺氏(程师孟妻)	
122	程师孟	父	15352	程立信	
122	程师孟	父	49182	程某	
123	程嗣恭	父	118	程琳	
124	程唐	父	112	程之邵	
124	程唐	子	3110	程敦书	
124	程唐	子	13803	程敦厚	
128	程瑀	父	15440	程拊	
128	程瑀	父	49122	程柟	
128	程瑀	母	49123	金氏(程柟妻)	
128	程瑀	妻子	49124	沉氏(程瑀妻)	
131	程筠	兄	111	程节	
131	程筠	子	15780	程祁	
134	戚纶	父	3031	戚同文(字)	
134	戚纶	子	15850	戚舜举	
134	戚纶	子	15851	戚舜能	
134	戚纶	子	15852	戚舜宾	
134	戚纶	兄	15848	戚维	据宋史列传CBDB宋史分传#659
136	强浚明	父	7138	强至	
136	强浚明	弟	7139	强渊明	
136	强浚明	子	16195	强行父	
138	乔执中	父	36106	乔A	
138	乔执中	母	49021	孙氏(乔执中母)	
142	钱暧	父	8006	钱惟演	
145	钱勰	父	7010	钱彦远	
145	钱勰	弟	13104	钱龢	
146	钱易	兄	3035	钱昆	
146	钱易	父	3039	钱倧	
146	钱易	子	7010	钱彦远	
146	钱易	子	13109	钱明逸	
146	钱易	兄	8006	钱惟演	据宋史列传CBDB宋史分传#722
146	钱易	妻子	119389	盛氏(钱易妻)	据宋史列传CBDB宋史分传#722
147	钱公辅	父	16173	钱冶	
147	钱公辅	子	18843	钱世雄	
149	钱时敏	父	16274	钱戬	
150	钱端礼	父	7140	钱忱	
150	钱端礼	妻子	52345	高氏(钱端礼妻)	
152	钱遹	子	16280	钱楚材	
154	秦昌时	弟	16022	秦昌龄	
156	秦羲	父	16020	秦承裕	
159	秦定	父	22981	秦咏	
159	秦定	子	22982	秦规	
160	秦梓	弟	8008	秦桧	
160	秦梓	父	13038	秦敏学	
164	楚建中	兄	49327	楚□中	
165	权邦彦	父	13615	权经	
167	詹太和	父	13338	詹安	
167	詹太和	兄	13339	詹至	
168	詹大方	子	3116	詹徽之	
168	詹大方	父	3117	詹良臣	
168	詹大方	子	7146	詹靖之	
169	詹度	父	13351	詹文	
169	詹度	妻子	49886	王氏(詹度妻)	
169	詹度	妻子	49887	刘氏(詹度妻)	
170	詹彦弓	父	14962	詹默	
171	詹棫	父	13338	詹安	
171	詹棫	兄弟	13339	詹至	
176	张常先	父	8018	张叔夜	
181	张诚一	父	8009	张耆	
182	张祁	子	3144	张孝祥	
182	张祁	兄	7163	张邵	
182	张祁	父	13578	张几	
182	张祁	女儿	37259	张法言	
183	张齐贤	父	13601	张兾	
183	张齐贤	母	119436	孙氏(张齐贤母)	据宋史列传CBDB宋史分传#294
185	张去华	子	282	张师颜	
185	张去华	父	13673	张谊	
185	张去华	子	13674	张师锡	
185	张去华	子	13675	张师皋	
185	张去华	子	13676	张师古	
185	张去华	子	26518	张师雄	
185	张去华	女儿	39731	张氏(向敏中妻)	
186	张去惑	父	20689	张希颜	
192	张正中	父	7149	张昭允	
193	张佶	子	304	张宗象	
193	张佶	父	3139	张昉	
195	张吉甫	父	11666	张汝士	
196	张继能	子	13973	张怀忠	
196	张继能	父	46949	张赞	据宋史列传CBDB宋史分传#2103
197	张颉	兄	331	张顒	
198	张鑑	父	12426	张裔	
198	张鑑	子	12429	张士寿	
199	张植	妻子	46796	周氏(张植妻)	
200	张知白	妻子	47164	王氏(张知白妻)	
201	张致远	兄	13713	张诩	
201	张致远	父	47178	张默	
205	张景宪	父	280	张师德	
209	张巨	父	13678	张霖	
209	张巨	弟	13680	张序	
211	张浚	子	7164	张栻	
211	张浚	父	12396	张咸	
211	张浚	兄	12437	张滉	
211	张浚	妻子	46711	乐氏(张浚妻)	
211	张浚	妻子	46712	宇文氏(张浚妻)	
211	张浚	母	118938	某氏(张浚母)	
213	张中庸	女儿	39499	张氏(向经妻)	
214	张谔	子	269	张秉	
216	张谔	父	11705	张君奭	
217	张方平	父	3173	张尧卿	
218	张傅	父	24971	张成	
218	张傅	子	24972	张彭	
221	张颢	父	227	张孝纯	
221	张颢	兄弟	323	张颖	
223	张锡	父	13738	张龟从	
225	张瓌	弟	301	张璪	
225	张瓌	父	13573	张方回	
226	张象中	子	306	张宗彝	
226	张象中	子	7170	张宗古	
226	张象中	父	13734	张昭易	
227	张孝纯	子	221	张颢	
227	张孝纯	子	323	张颖	
229	张诜	父	262	张沔	
229	张诜	兄	332	张咏	据宋史列传CBDB宋史分传#521
234	张峋	弟	11707	张崏	
237	张徽	弟	13922	张彻	
245	张若谷	子	3150	张奎	
247	张汝贤	兄弟	3149	张汝明	
248	张康国	父	275	张升卿	
248	张康国	兄	13732	张康伯	
249	张可久	父	8013	张宏	
250	张奎	子	298	张焘	
250	张奎	父	11700	张馀庆	
250	张奎	弟	11701	张亢	
252	张纲	父	13771	张翱	
255	张根	妻子	5390	黄氏(张根妻)	
255	张根	弟	13669	张朴	
255	张根	弟	119939	张檏	据宋史列传CBDB宋史分传#1077
257	张巩	父	3135	张君平	
258	张公济	父	27019	张蒭	
259	张纶	父	13986	张煦	
261	张美	子	119960	张守瑛	据宋史列传CBDB宋史分传#236
262	张沔	妻子	5012	魏氏(张沔妻)	
262	张沔	父	12417	张	
264	张嵲	父	21988	张D	
264	张嵲	母	46837	骆氏(张嵲母)	
264	张嵲	子	119942	张昌时	据宋史列传CBDB宋史分传#1705
267	张保雍	父	3127	张制	
267	张保雍	子	7173	张彦博	
268	张佖	子	318	张昷之	
268	张佖	父	12247	张璆	
269	张秉	父	214	张谔	
271	张掞	弟	3151	张揆	
271	张掞	父	3180	张蕴	
272	张商英	父	10220	张文蔚	
272	张商英	兄	10221	张唐英	
273	张绅	父	13793	张从质	
275	张升卿	妻子	5413	钱氏(张升卿妻)	
275	张升卿	兄	7167	张挺卿	
275	张升卿	父	7170	张宗古	
275	张升卿	子	47214	张康伯	
279	张士逊	父	12423	张廷朗	
280	张师德	父	185	张去华	
280	张师德	兄弟	282	张师颜	
280	张师德	子	119968	张中宪	据宋史列传CBDB宋史分传#660
282	张师颜	父	185	张去华	
282	张师颜	兄弟	280	张师德	
286	张塾	父	205	张景宪	
288	张叔椿	父	174	张阐	
289	张叔献	子	312	张子华	
291	张舜民	父	11890	张程	
291	张舜民	子	11891	张居	
291	张舜民	子	38768	张氏(司马朴妻)	
295	张唐民	父	3161	张思	
295	张唐民	兄	13972	张唐卿	
298	张焘	父	250	张奎	
299	张存	父	13765	张文质	
301	张璪	兄	225	张瓌	
301	张璪	父	13573	张方回	
302	张泽	兄	12677	张澈	
304	张宗象	父	193	张佶	
305	张宗诲	父	183	张齐贤	
305	张宗诲	弟	3167	张宗简	据宋史列传CBDB宋史分传#294
305	张宗诲	弟	13602	张宗理	据宋史列传CBDB宋史分传#294
305	张宗诲	弟	13603	张宗谅	据宋史列传CBDB宋史分传#294
306	张宗彝	父	226	张象中	
308	张宗元	父	47138	张泽	
308	张宗元	母	47139	田氏(张泽妻)	
310	张洞	父	14004	张惟简	
311	张次山	父	318	张昷之	
311	张次山	兄弟	7016	张次元	
312	张子华	父	289	张叔献	
315	张琬	父	8016	张昇	
315	张琬	妻子	36888	范氏(张琬妻)	
315	张琬	妻子	46790	范氏(张琬妻)	
316	郭思	子	961	郭游卿	
316	郭思	父	19509	郭熙	
316	郭思	子	19510	郭道卿	
317	张问	子	119965	张古	据宋史列传CBDB宋史分传#849
318	张昷之	父	268	张佖	
318	张昷之	女儿	41954	张氏(吕希哲妻)	
318	张昷之	父	119932	张秘	据宋史列传CBDB宋史分传#627
321	张尧佐	弟	13963	张尧封	
321	张尧佐	子	13964	张山甫	
323	张颖	兄弟	221	张颢	
323	张颖	父	227	张孝纯	
325	张宇	父	3174	张彦直	
325	张宇	弟	8017	张守	
326	张友直	父	279	张士逊	
326	张友直	弟	12424	张友正	
328	张元方	父	7011	张讽	
329	张运	父	119929	张贯	据宋史列传CBDB宋史分传#1358
330	张雍	子	7013	张太初	
330	张雍	子	13965	张太冲	
331	张顒	弟	197	张颉	
332	张咏	父	13792	张景	
332	张咏	弟	229	张诜	据宋史列传CBDB宋史分传#521
333	章惇	父	3191	章俞	
333	章惇	子	7148	章持	
333	章惇	兄	12963	章訢	
333	章惇	子	12969	章援	
333	章惇	子	14105	章择	
333	章惇	母	45073	罗氏(章俞妻)	
333	章惇	妻子	45075	张氏(章惇妻)	
336	章服	弟	3183	章著	
336	章服	父	14032	章俣	
336	章服	子	14064	章时可	
339	章谊	父	23799	章赐	
339	章谊	兄	23800	章云	
342	章频	子	3184	章访	
342	章频	父	3185	章谷者	
342	章频	弟	12959	章頔	
344	章得象	父	12950	章奂	
344	章得象	母	45400	张氏(章得象母)	
345	章楶	父	3184	章访	
345	章楶	妻子	45110	和氏(章楶妻)	
346	章元振	子	45184	章才邵	
348	赵昌言	父	50191	赵叡	
348	赵昌言	子	51035	赵庆嗣	
349	赵偁	子	395	赵鼎臣	
349	赵偁	子	11708	赵钧臣	
349	赵偁	父	27342	赵永宁	
351	赵岍	父	402	赵扬	
352	赵瞻	父	3202	赵刚	
353	赵稹	父	387	赵晟	
353	赵稹	兄	25457	赵和	
354	赵济	父	4153	赵宗道	
356	赵志之	父	10520	赵叔据	
359	赵贺	子	4153	赵宗道	
360	赵湘	父	20705	赵昙	
360	赵湘	子	20706	赵亚才	
361	赵咸	父	4153	赵宗道	
362	赵亿	父	369	赵霖	
363	赵开	父	17196	赵英	
364	赵公称	父	10517	赵诚之	
367	赵公达	父	10525	赵仕之	
369	赵霖	子	362	赵亿	
369	赵霖	父	7017	赵㞦	
370	赵令詪	父	10466	赵世膺	
371	赵令铄	父	10457	赵世雄	
373	赵霈	父	20954	赵峻	
375	赵抃	弟	402	赵扬	
375	赵抃	父	20706	赵亚才	
377	赵伯牛	父	10458	赵子漪	
378	赵伯瑜	父	10480	赵子益	
379	赵伯鱼	父	398	赵子淔	
380	赵不弃	父	25772	赵士岑	
380	赵不弃	子	437523	赵善素	全元文第55册 page: 584
381	赵不己	父	10534	赵士芭	
382	赵不凡	父	25412	赵士褭	据宋史列传CBDB宋史分传#101
383	赵不溢	父	16012	赵士隽	
384	赵不弁	父	27187	赵	
385	赵不猷	父	14780	赵士諕	
386	赵不愚	父	16012	赵士隽	
387	赵晟	子	353	赵稹	
387	赵晟	子	3194	赵积	
387	赵晟	父	24280	赵脩己	
387	赵晟	子	25457	赵和	
387	赵晟	母	118683	某氏(赵晟母)	
389	赵士鹏	女儿	5060	赵氏(洪寿卿妻)	
389	赵士鹏	父	10942	赵仲谈	
391	李秬	父	1033	李绚	
394	赵挺之	子	19714	赵明诚	
395	赵鼎臣	父	349	赵偁	
395	赵鼎臣	兄	11708	赵钧臣	
395	赵鼎臣	子	50025	赵方	
395	赵鼎臣	子	50066	赵奕	
398	赵子淔	父	371	赵令铄	
398	赵子淔	兄	10458	赵子漪	
399	赵子厚	父	10464	赵令冲	
400	赵子潚	父	10482	赵令奥	
401	赵子岩	父	15282	赵令毣	
402	赵扬	兄	375	赵抃	
402	赵扬	妻子	5020	苏氏(赵扬妻)	
402	赵扬	父	20706	赵亚才	
403	赵暘	父	25929	赵H	
403	赵暘	子	25930	赵泽	
404	赵遹	子	119580	赵永裔	据宋史列传CBDB宋史分传#970
405	折彦质	父	14250	折可适	
406	郑霭	父	417	郑骧	
407	郑侨年	父	8027	郑居中	
408	郑震	父	417	郑骧	
410	郑绩	父	26255	郑N	
411	郑戬	兄	425	郑载	
411	郑戬	妻子	5028	李氏(郑戬妻)	
411	郑戬	弟	8179	郑戡	
411	郑戬	父	12753	郑文遂	
411	郑戬	弟	12754	郑戭	
413	郑仅	子	426	郑资之	
413	郑仅	子	427	郑望之	
413	郑仅	兄弟	429	郑佑	
414	郑仲熊	兄弟	8028	郑仲雍	
415	郑向	子	16424	郑平	
415	郑向	子	16425	郑本	
415	郑向	子	16426	郑革	
417	郑骧	子	406	郑霭	
417	郑骧	子	408	郑震	
419	郑鬲	兄	15327	郑南	
420	李诫	父	1066	李南公	
421	郑良	父	11023	郑叔侨	
421	郑良	子	11027	郑囿	
425	郑载	弟	411	郑戬	
425	郑载	弟	8179	郑戡	
425	郑载	父	12753	郑文遂	
425	郑载	弟	12754	郑戭	
426	郑资之	父	413	郑仅	
426	郑资之	兄弟	427	郑望之	
427	郑望之	父	413	郑仅	
427	郑望之	兄弟	426	郑资之	
428	郑文宝	父	15277	郑彦华	
428	郑文宝	女儿	53966	郑信陵	
428	郑文宝	子	119543	郑于陵	据宋史列传CBDB宋史分传#418
429	郑佑	兄弟	413	郑仅	
433	郏亶	子	15854	郏侨	
433	郏亶	子	15855	郏杰	
434	贾安宅	父	444	贾收	
435	贾昌衡	兄弟	3217	贾昌期	
435	贾昌衡	兄	8031	贾昌朝	
436	贾青	父	8031	贾昌朝	
440	贾易	母	118934	彭氏(贾易母)	
444	贾收	子	434	贾安宅	
446	贾宗	父	15958	贾	
448	贾琰	父	11746	贾纬	
448	贾琰	子	11749	贾汾	
448	贾琰	子	11751	贾湜	
449	贾黯	父	15860	贾汶	
449	贾黯	母	119343	陈氏(贾黯母)	据宋史列传CBDB宋史分传#619
451	江公著	兄弟	16049	江公望	
451	江公著	兄弟	16050	江公佐	
451	江公著	兄弟	16051	江公明	
454	江衍	父	16074	江逊	
454	江衍	子	16078	江敦抑	
455	姜仲谦	子	456	姜诜	
455	姜仲谦	父	3229	姜筠	
455	姜仲谦	兄弟	16104	姜仲思	
456	姜诜	父	455	姜仲谦	
456	姜诜	子	16107	姜处度	
457	姜师仲	兄	458	姜师孟	
457	姜师仲	父	16111	姜周臣	
457	姜师仲	弟	36295	姜师季	
458	姜师孟	弟	457	姜师仲	
459	姜遵	父	16096	姜沼	
459	姜遵	兄	16097	姜昭范	
460	蒋及祖	父	10452	蒋瑎	
461	蒋之奇	弟	3233	蒋之美	
461	蒋之奇	子	3234	蒋珍	
461	蒋之奇	父	16120	蒋滂	
461	蒋之奇	兄	16138	蒋之翰	
462	蒋彝	父	16118	蒋长源	
462	蒋彝	妻子	33936	梅柔顺	
465	蒋堂	父	16119	蒋九皋	
466	蒋璨	父	3233	蒋之美	
467	蹇周辅	子	468	蹇序辰	
467	蹇周辅	子	13875	蹇逢辰	
467	蹇周辅	子	16201	蹇兢辰	
467	蹇周辅	子	16206	蹇昌臣	
468	蹇序辰	父	467	蹇周辅	
469	金安节	女儿	46065	金妙湛	
470	金君卿	母	5424	徐氏(金君卿母)	
470	金君卿	父	15532	金X臣	
473	井亮采	子	474	井度	
474	井度	父	473	井亮采	
476	周池	妻子	5021	刘氏(周楙母)	
476	周池	父	11560	周元长	
477	周纯	父	16470	周诜	
480	周嘉正	父	3241	周述	
481	周秩	兄	485	周穜	
481	周秩	父	10178	周涛	
481	周秩	弟	10180	周秘	
482	周直孺	兄	3238	周长孺	
483	周之道	父	16382	周亨	
484	周庄仲	兄	7199	周武仲	
484	周庄仲	父	24374	周L	
485	周穜	弟	481	周秩	
485	周穜	父	10178	周涛	
487	周沆	父	13371	周圭	
488	周需	子	503	周淙	
489	周澣	弟	499	周实	
489	周澣	父	26130	周绪	
491	周葵	父	16479	周裕	
492	周纲	父	42610	周抃	
493	周革	父	3243	周孝恭	
494	周离亨	父	508	周彦质	
494	周离亨	弟	16487	周夫亨	
498	周绅	父	16421	周喻	
499	周实	兄	489	周澣	
499	周实	父	26130	周绪	
499	周实	子	26131	周宗古	
503	周淙	父	488	周需	
504	周敦颐	父	16405	周辅成	
505	周绾	子	3251	周元卿	
505	周绾	父	11565	周逷	
505	周绾	母	42970	叶氏(周绾母)	
506	周渭	妻子	118879	莫荃	
506	周渭	子	120033	周建中	据宋史列传CBDB宋史分传#639
508	周彦质	子	494	周离亨	
508	周彦质	父	16485	周源	
508	周彦质	子	16486	周随亨	
508	周彦质	子	16487	周夫亨	
509	周聿	父	16551	周子通	
509	周聿	母	40450	王氏(周子通妻)	
509	周聿	母	42540	王氏(周子通妻)	
509	周聿	妻子	42542	于氏(周聿妻)	
509	周聿	妻子	42545	石氏(周聿妻)	
510	周约	父	13373	周协	
510	周约	女儿	30503	周琬	
512	朱昂	父	3260	朱葆光	
512	朱昂	女儿	5031	朱氏(冯京母)	
512	朱昂	弟	16469	朱协	
513	朱昌符	父	519	朱赋	
513	朱昌符	兄	531	朱台符	
513	朱昌符	子	16572	朱公祐	
518	朱宗	父	16671	朱绂	
519	朱赋	子	513	朱昌符	
519	朱赋	子	531	朱台符	
520	朱夏卿	父	8039	朱胜非	
521	朱巽	女儿	5126	朱氏(曾公望妻)	
521	朱巽	子	16667	朱寿昌	
525	牛冕	兄弟	26649	牛景	
525	牛冕	子	97756	牛昭俭	据宋史列传CBDB宋史分传#424
527	朱勃	子	16668	朱敦复	
527	朱勃	子	16669	朱敦儒	
528	朱伯虎	子	534	朱彦美	
528	朱伯虎	父	15163	朱约	
528	朱伯虎	弟	15165	朱伯熊	
529	朱商卿	父	8039	朱胜非	
530	朱寿隆	父	531	朱台符	
531	朱台符	弟	513	朱昌符	
531	朱台符	父	519	朱赋	
531	朱台符	子	13873	朱公佐	
532	朱縡	父	16699	朱玠	
534	朱彦美	父	528	朱伯虎	
541	鞠真卿	父	544	鞠咏	
542	鞠仲谋	父	12853	鞠常	
543	鞠励	子	544	鞠咏	
544	鞠咏	子	541	鞠真卿	
544	鞠咏	父	543	鞠励	
544	鞠咏	子	12846	鞠齐卿	
545	庄徽	父	3268	庄询	
546	庄公岳	子	11915	庄绰	
547	庄必彊	子	11795	庄芑	
553	锺离瑾	子	7209	锺离景圭	
553	锺离瑾	子	7210	锺离景裕	
553	锺离瑾	子	16733	锺离景伯	
553	锺离瑾	子	23407	锺离景融	
554	樊知古	父	119793	樊潜	据宋史列传CBDB宋史分传#403
554	樊知古	子	119794	樊汉公	据宋史列传CBDB宋史分传#403
559	范纯仁	妻子	5029	王氏(范纯仁妻)	
559	范纯仁	父	8043	范仲淹	
559	范纯仁	兄	16745	范纯祐	
559	范纯仁	弟	560	范纯礼	据宋史列传CBDB宋史分传#710
559	范纯仁	弟	561	范纯粹	据宋史列传CBDB宋史分传#710
559	范纯仁	母	119413	李氏(范纯仁母)	据宋史列传CBDB宋史分传#711
560	范纯礼	父	8043	范仲淹	
560	范纯礼	弟	561	范纯粹	据宋史列传CBDB宋史分传#710
560	范纯礼	兄	16745	范纯祐	据宋史列传CBDB宋史分传#710
560	范纯礼	兄	559	范纯仁	据宋史列传CBDB宋史分传#711
561	范纯粹	父	8043	范仲淹	
561	范纯粹	子	16753	范正夫	
561	范纯粹	兄	560	范纯礼	据宋史列传CBDB宋史分传#710
561	范纯粹	兄	16745	范纯祐	据宋史列传CBDB宋史分传#710
561	范纯粹	兄	559	范纯仁	据宋史列传CBDB宋史分传#711
562	范冲	父	7026	范祖禹	
562	范冲	子	16791	范仲彪	
565	范正国	父	559	范纯仁	
566	范正辞	子	569	范讽	
566	范正辞	子	16792	范识	
566	范正辞	父	16793	范劳谦	
568	范锷	父	16885	范大录	
568	范锷	子	16886	范筠	
568	范锷	子	16887	范筥	
569	范讽	父	566	范正辞	
569	范讽	子	576	范宽之	
569	范讽	子	17229	范隐之	
569	范讽	兄	16792	范识	据宋史列传CBDB宋史分传#641
571	范祥	子	591	范育	
571	范祥	父	19325	范忠恕	
571	范祥	子	19326	范褒	
571	范祥	子	19331	范衮	
573	范峋	父	16904	范迪简	
573	范峋	女儿	135501	范智通	
573	范峋	子	136125	范涓	
575	范如圭	父	11832	范舜举	
575	范如圭	子	43588	范念德	
576	范宽之	父	569	范讽	
577	范旻	子	3280	范贻孙	
577	范旻	子	7025	范令孙	
577	范旻	父	8041	范质	
578	范百禄	父	16763	范锴	
580	范世京	父	581	范师道	
581	范师道	子	580	范世京	
581	范师道	父	3273	范琪	
581	范师道	子	16917	范世亮	
582	范镗	子	590	范寅秩	
582	范镗	子	12973	范寅敷	
583	范峒	父	16904	范迪简	
585	范宗杰	子	586	范子奇	
585	范宗杰	子	587	范子仪	
585	范宗杰	父	593	范雍	
586	范子奇	父	585	范宗杰	
586	范子奇	子	16923	范坦	原作子仪，误。据子仪之墓表可知，其长子为镐，次子为铎，又雍正《河南通志》卷三十、卷五十九皆作“子奇子”，据改。
587	范子仪	父	585	范宗杰	
590	范寅秩	父	582	范镗	
590	范寅秩	兄	12973	范寅敷	
